Category|Subcategory|Region|Language(s)|Title|Brief description|URL|Source type|Update cadence|Ingestion / license notes|AI-safe fit
Health & medicine|Germany healthcare decisions|Germany|de|Gemeinsamer Bundesausschuss (G-BA)|Germany's Federal Joint Committee decisions, guidelines and healthcare quality information.|https://www.g-ba.de/|Health regulation|Regular|Official public documents; check reuse terms.|B – terms-check/variable
Health & medicine|Germany medicines/devices|Germany|de/en|BfArM|Federal Institute for Drugs and Medical Devices databases, classifications and safety information.|https://www.bfarm.de/|Regulatory health source|Regular|Official public information; verify reuse terms per database.|B – terms-check/variable
Health & medicine|Germany public health|Germany|de/en|Robert Koch Institute|Germany's federal public health institute for infectious disease data and guidance.|https://www.rki.de/|Official health source|Continuous|Official public information; check reuse/copyright and dataset licenses.|B – terms-check/variable
Health & medicine|Germany public health data|Germany|de|RKI Open Data|Open data publications from the Robert Koch Institute.|https://www.rki.de/DE/Content/Forsch/Forschungsdaten/forschungsdaten_node.html|Health data|Regular|Dataset-specific licenses; many open datasets are suitable for ingestion.|B – terms-check/variable
Health & medicine|Germany vaccines/biomedicine|Germany|de/en|Paul-Ehrlich-Institut|German federal institute for vaccines, biomedicines and pharmacovigilance.|https://www.pei.de/|Regulatory health source|Regular|Official public information; verify reuse terms.|B – terms-check/variable
Health & medicine|Global health data|Global|en|WHO Global Health Observatory|WHO data portal for health indicators, mortality, disease burden and systems.|https://www.who.int/data/gho|Health data|Regular|Official data; check dataset terms and attribution requirements.|B – terms-check/variable
Health & medicine|Global public health|Global|en + multi|World Health Organization|Authoritative global public health guidance, data, standards and outbreak information.|https://www.who.int/|Official health source|Continuous|Official source; check WHO copyright/licensing per page/publication.|B – terms-check/variable
Health & medicine|Patient health reference|United States/Global|en/es|MedlinePlus|NIH consumer health information on diseases, medicines and wellness.|https://medlineplus.gov/|Health reference|Regular|U.S. government/NIH content; high fit, but verify page-level notices.|A – high-fit/open
Health & medicine|Public health England/UK|United Kingdom|en|NHS Health A to Z|UK National Health Service patient information and conditions reference.|https://www.nhs.uk/conditions/|Health reference|Regular|Copyrighted Crown/NHS material with terms; verify reuse before ingestion.|B – terms-check/variable
Health & medicine|U.S. public health|United States/Global|en|CDC|U.S. public health guidance, disease surveillance, outbreaks and data.|https://www.cdc.gov/|Official health source|Continuous|U.S. government content generally public domain; verify third-party/media exceptions.|A – high-fit/open
Law, regulation & government|Australia legal information|Australia|en|AustLII|Australasian Legal Information Institute databases of legislation, cases and law resources.|https://www.austlii.edu.au/|Legal database|Regular|Free access but terms/copyright vary by source collection.|B – terms-check/variable
Law, regulation & government|Canada law|Canada|en/fr|Justice Laws Website|Official consolidated acts and regulations of Canada.|https://laws-lois.justice.gc.ca/|Legal database|Regular|Official source; check Canadian government reuse terms.|B – terms-check/variable
Law, regulation & government|EU Official Journal|EU|multi|Official Journal of the European Union|Official publication for EU legislation, notices and legal acts.|https://eur-lex.europa.eu/oj/direct-access.html|Official gazette|Daily|Official EU legal source; reuse terms may apply.|B – terms-check/variable
Law, regulation & government|European case law|EU|multi|CURIA|Court of Justice of the European Union case law and procedural information.|https://curia.europa.eu/|Case law|Regular|Official court source; check reuse terms and language versions.|B – terms-check/variable
Law, regulation & government|European law|EU|multi|EUR-Lex|Official access to EU law, treaties, legislation, case law and Official Journal documents.|https://eur-lex.europa.eu/|Legal database|Daily/regular|Official EU legal source; check reuse terms and CELEX identifiers.|B – terms-check/variable
Law, regulation & government|European law|EU/member states|multi|N-Lex|EU gateway to national legislation databases of EU member states.|https://n-lex.europa.eu/|Legal portal|Regular|Links to national legal sources; rights depend on each jurisdiction.|B – terms-check/variable
Law, regulation & government|Germany case law|Germany|de|Rechtsprechung im Internet|Official German federal case-law portal for selected court decisions.|https://www.rechtsprechung-im-internet.de/|Case law|Regular|Official court decisions; coverage is selective and terms apply.|B – terms-check/variable
Law, regulation & government|Germany constitutional court|Germany|de/en|Bundesverfassungsgericht Decisions|German Federal Constitutional Court decisions, press releases and case information.|https://www.bundesverfassungsgericht.de/|Case law|Regular|Official court source; check reuse/citation rules.|B – terms-check/variable
Law, regulation & government|Germany federal council|Germany|de|Bundesrat Documents|Official documents, plenary records and legislative materials from the Bundesrat.|https://www.bundesrat.de/DE/dokumente/dokumente-node.html|Parliamentary documents|Regular|Official source; check reuse/copyright notices.|B – terms-check/variable
Law, regulation & government|Germany federal court|Germany|de|Bundesgerichtshof Decisions|German Federal Court of Justice decisions from 2000 onward.|https://www.bundesgerichtshof.de/DE/Entscheidungen/entscheidungen_node.html|Case law|Regular|Official court source; check reuse/citation rules.|B – terms-check/variable
Law, regulation & government|Germany federal law|Germany|de/en|Gesetze im Internet|Official access to current consolidated German federal laws and ordinances.|https://www.gesetze-im-internet.de/|Legal database|Regular|Official laws; translations may lag German originals. Check site conditions.|B – terms-check/variable
Law, regulation & government|Germany official gazette|Germany|de|recht.bund.de – Bundesgesetzblatt|Official German promulgation platform for federal laws and statutory instruments.|https://www.recht.bund.de/|Official gazette|Daily/regular|Official legal publication; check reuse and document terms.|B – terms-check/variable
Law, regulation & government|Germany parliament|Germany|de|DIP – Bundestag/Bundesrat Documents|Documentation and information system for German parliamentary materials and proceedings.|https://dip.bundestag.de/|Parliamentary documents|Daily/regular|Official parliamentary documents; API read access available, terms apply.|B – terms-check/variable
Law, regulation & government|Germany parliament|Germany|de/en|Deutscher Bundestag Documents|Official parliamentary documents, research services and protocols.|https://www.bundestag.de/dokumente|Parliamentary documents|Daily/regular|Official source; copyright notices apply to some content.|B – terms-check/variable
Law, regulation & government|Human rights case law|Council of Europe|en/fr|HUDOC ECHR|European Court of Human Rights case-law database.|https://hudoc.echr.coe.int/|Case law|Regular|Official case law; check HUDOC terms and citation practices.|B – terms-check/variable
Law, regulation & government|IP law|Global|en/fr/es|WIPO Lex|World intellectual property laws, treaties and IP-related judgments.|https://www.wipo.int/wipolex/|Legal database|Regular|Official source; terms and jurisdictional rights may vary.|B – terms-check/variable
Law, regulation & government|International court|Global|en/fr|International Court of Justice|ICJ judgments, advisory opinions, orders and case materials.|https://www.icj-cij.org/|Case law|Regular|Official court source; check reuse/citation rules.|B – terms-check/variable
Law, regulation & government|International treaties|Global|en/fr|UN Treaty Collection|United Nations treaty status, texts and depositary notifications.|https://treaties.un.org/|Treaty database|Regular|Official treaty source; check UN terms and citation practices.|B – terms-check/variable
Law, regulation & government|Labour standards|Global|en/fr/es|ILO NORMLEX|International labour standards, ratifications, country profiles and supervisory comments.|https://normlex.ilo.org/|Legal/standards database|Regular|Official ILO source; check copyright/reuse terms.|B – terms-check/variable
Law, regulation & government|Trade law|Global|en/fr/es|WTO Documents Online|WTO official documents, disputes, decisions and trade policy materials.|https://docs.wto.org/|Legal/government documents|Regular|Official documents; check reuse terms.|B – terms-check/variable
Law, regulation & government|U.S. case law|United States|en|Supreme Court of the United States Opinions|Official U.S. Supreme Court opinions, orders and docket materials.|https://www.supremecourt.gov/opinions/opinions.aspx|Case law|Regular|Official court source; generally public domain, verify documents.|A – high-fit/open
Law, regulation & government|U.S. code|United States|en|U.S. Code|Official codification of general and permanent U.S. federal statutes.|https://uscode.house.gov/|Legal database|Regular|Official U.S. legal source; generally public-domain oriented.|A – high-fit/open
Law, regulation & government|U.S. government publications|United States|en|GovInfo|Official U.S. government publications from the Government Publishing Office.|https://www.govinfo.gov/|Government documents|Daily/regular|U.S. government publications; generally high fit with exceptions.|A – high-fit/open
Law, regulation & government|U.S. legislation|United States|en|Congress.gov|Official U.S. federal legislative information, bills, laws and member records.|https://www.congress.gov/|Legislative database|Daily/regular|U.S. government data generally public domain; verify exceptions.|A – high-fit/open
Law, regulation & government|U.S. regulation|United States|en|Federal Register|Daily journal of U.S. federal agency rules, notices and presidential documents.|https://www.federalregister.gov/|Official gazette|Daily|U.S. government legal publication; high-fit with metadata/API.|A – high-fit/open
Law, regulation & government|UK legislation|United Kingdom|en|legislation.gov.uk|Official UK legislation database with acts, statutory instruments and revisions.|https://www.legislation.gov.uk/|Legal database|Regular|Official UK legal source; Open Government Licence commonly applies, verify.|B – terms-check/variable
Government, policy & public administration|EU publications|EU|multi|EU Publications Office|Official EU publications, reports, datasets and vocabularies.|https://op.europa.eu/|Government publications|Regular|EU reuse terms vary by publication; often open with attribution.|B – terms-check/variable
Government, policy & public administration|EU tenders|EU|multi|TED – Tenders Electronic Daily|EU public procurement notices and tender data.|https://ted.europa.eu/|Government procurement data|Daily|Official procurement data; check reuse/API terms.|B – terms-check/variable
Government, policy & public administration|France government|France|fr/en|Vie publique|French public policy, institutions and legal/political explainer portal.|https://www.vie-publique.fr/|Government/civic reference|Regular|Official public information; check reuse terms.|B – terms-check/variable
Government, policy & public administration|Germany federal information|Germany|de/en|service.bund.de|German federal portal for public administration services and official announcements.|https://www.service.bund.de/|Government portal|Regular|Official public information; check reuse/notice terms.|B – terms-check/variable
Government, policy & public administration|Germany open government|Germany|de/en|Open Data Germany FAQ|German open data FAQ and standards-oriented guidance for public-sector data reuse.|https://open-data-germany.org/en/open-data-faq/|Open data guidance|Regular|Guidance material; check terms and official links.|B – terms-check/variable
Government, policy & public administration|Germany procurement|Germany|de|eVergabe Bund|German federal e-procurement portal and tender information.|https://www.evergabe-online.de/|Procurement data|Regular|Official portal; terms and machine access may vary.|B – terms-check/variable
Government, policy & public administration|International development|Global|en/fr/es|UNDP Data Center|UN Development Programme datasets and human development indicators.|https://hdr.undp.org/data-center|Official data/reference|Regular|Official data; check UNDP terms and citation.|B – terms-check/variable
Government, policy & public administration|Migration data|Global|en|IOM Migration Data Portal|Global migration statistics, indicators and data explainers.|https://www.migrationdataportal.org/|Official data/reference|Regular|Official/curated data; check source-specific rights.|B – terms-check/variable
Government, policy & public administration|UK government|United Kingdom|en|GOV.UK|Official UK government information, services, policy papers and guidance.|https://www.gov.uk/|Government portal|Daily/regular|Often under Open Government Licence; verify page-specific notices.|B – terms-check/variable
Government, policy & public administration|United States government|United States|en|USA.gov|Official U.S. government portal linking agencies, services and information.|https://www.usa.gov/|Government portal|Regular|U.S. government content generally public domain; linked agency content varies.|B – terms-check/variable
Open data, statistics & economics|Australia statistics|Australia|en|Australian Bureau of Statistics|Official Australian statistical data and publications.|https://www.abs.gov.au/|Official statistics|Regular|Official data; check ABS reuse terms.|B – terms-check/variable
Open data, statistics & economics|Austria statistics|Austria|de/en|Statistics Austria|Official Austrian statistical data and publications.|https://www.statistik.at/en|Official statistics|Regular|Official data; check reuse terms.|B – terms-check/variable
Open data, statistics & economics|Business identifiers|Global|en|GLEIF LEI Data|Global Legal Entity Identifier reference data and API.|https://www.gleif.org/en/lei-data|Open business data|Regular|Open LEI data under GLEIF terms; useful for entity resolution.|A – high-fit/open
Open data, statistics & economics|Canada statistics|Canada|en/fr|Statistics Canada|Official Canadian statistics, census data and data tables.|https://www.statcan.gc.ca/|Official statistics|Regular|Official data; check Statistics Canada terms.|B – terms-check/variable
Open data, statistics & economics|Central bank/banking data|Global|en|Bank for International Settlements Statistics|International banking, credit, derivatives and financial indicators.|https://www.bis.org/statistics/|Official financial data|Regular|Official data; check BIS terms and citation.|B – terms-check/variable
Open data, statistics & economics|EU monetary data|EU/euro area|en|ECB Data Portal|European Central Bank data on monetary policy, exchange rates, payments and finance.|https://data.ecb.europa.eu/|Official financial data|Regular|Official data; check ECB reuse terms and attribution.|B – terms-check/variable
Open data, statistics & economics|EU open data|EU|multi|data.europa.eu|European data portal aggregating open datasets from EU institutions and member states.|https://data.europa.eu/|Open data portal|Continuous|Dataset licenses vary; metadata is high-fit for discovery.|B – terms-check/variable
Open data, statistics & economics|EU statistics|EU|multi|Eurostat|Official EU statistical database for economy, population, trade, environment and regions.|https://ec.europa.eu/eurostat|Official statistics|Regular|Official statistical data; follow Eurostat reuse and citation requirements.|A – high-fit/open
Open data, statistics & economics|Economic time series|United States/Global|en|FRED|Federal Reserve Bank of St. Louis economic time series and data tools.|https://fred.stlouisfed.org/|Economic data|Regular|Generally reusable with attribution; check series source and FRED terms.|B – terms-check/variable
Open data, statistics & economics|Energy statistics|United States/Global|en|U.S. Energy Information Administration|Energy production, consumption, prices, forecasts and international energy data.|https://www.eia.gov/opendata/|Official energy data|Regular|U.S. government data generally public domain.|A – high-fit/open
Open data, statistics & economics|Food/agriculture data|Global|en/fr/es|FAOSTAT|FAO statistics on agriculture, food, forestry, emissions and land use.|https://www.fao.org/faostat/|Official statistics/data|Regular|Official data; check FAO terms and attribution.|B – terms-check/variable
Open data, statistics & economics|France statistics|France|fr/en|INSEE|France's official statistics institute with data on economy, society and territories.|https://www.insee.fr/en/accueil|Official statistics|Regular|Official data; check INSEE reuse terms.|B – terms-check/variable
Open data, statistics & economics|Germany central bank|Germany/euro area|de/en|Deutsche Bundesbank Statistics|German central bank statistics on money, banks, markets, balance of payments and economy.|https://www.bundesbank.de/en/statistics|Official financial data|Regular|Official data; check Bundesbank terms and citation requirements.|B – terms-check/variable
Open data, statistics & economics|Germany city open data|Germany/Berlin|de|Berlin Open Data|Open data portal of Berlin with administration, transport, environment and urban datasets.|https://daten.berlin.de/|Open data portal|Continuous|Dataset licenses vary; many open datasets suitable for ingestion.|B – terms-check/variable
Open data, statistics & economics|Germany company registry|Germany|de|Unternehmensregister|German company register portal for filings and company disclosures.|https://www.unternehmensregister.de/|Company registry|Regular|Official registry; access, reuse and scraping terms are restrictive/variable.|C – licensed/metadata-only
Open data, statistics & economics|Germany labour market|Germany|de|Bundesagentur für Arbeit Statistik|Official German labour market, employment, unemployment and benefits statistics.|https://statistik.arbeitsagentur.de/|Official statistics|Regular|Official data; check reuse terms.|B – terms-check/variable
Open data, statistics & economics|Germany official statistics|Germany|de/en|Destatis GENESIS-Online|German Federal Statistical Office database for official statistical tables and time series.|https://www-genesis.destatis.de/|Official statistics|Regular|Official data; verify table-specific terms and API conditions.|B – terms-check/variable
Open data, statistics & economics|Germany open data|Germany|de|GovData|Germany's national open government data portal across federal, state and local sources.|https://www.govdata.de/|Open data portal|Continuous|Dataset licenses vary; many open administrative datasets suitable for ingestion.|B – terms-check/variable
Open data, statistics & economics|Germany regional statistics|Germany|de|Regionalstatistik|Regional statistical database from federal and state statistical offices.|https://www.regionalstatistik.de/|Official statistics|Regular|Official data; check reuse terms and attribution.|B – terms-check/variable
Open data, statistics & economics|Germany state open data|Germany/North Rhine-Westphalia|de|Open.NRW|Open government data portal for North Rhine-Westphalia.|https://open.nrw/|Open data portal|Continuous|Dataset licenses vary; check each dataset.|B – terms-check/variable
Open data, statistics & economics|Germany transparency portal|Germany/Hamburg|de|Transparenzportal Hamburg|Hamburg public information and open data portal.|https://transparenz.hamburg.de/|Open data/public records|Continuous|Rights vary by document/dataset; check metadata.|B – terms-check/variable
Open data, statistics & economics|Labour data|Global|en/fr/es|ILOSTAT|International Labour Organization labour statistics database.|https://ilostat.ilo.org/|Official statistics/data|Regular|Official data; check ILO terms and citation.|B – terms-check/variable
Open data, statistics & economics|Macro/finance data|Global|en|IMF Data|International Monetary Fund datasets on macroeconomics, finance and countries.|https://www.imf.org/en/Data|Official statistics/data|Regular|Official data; check IMF data terms.|B – terms-check/variable
Open data, statistics & economics|Patents Europe|Europe/Global|en|European Patent Register|European Patent Office register for patent applications and legal status.|https://register.epo.org/|IP registry|Regular|Official registry; check EPO terms and rate limits.|B – terms-check/variable
Open data, statistics & economics|Patents Germany|Germany|de/en|DPMAregister|German Patent and Trade Mark Office register for patents, trademarks and designs.|https://register.dpma.de/|IP registry|Regular|Official registry; check database terms and access constraints.|B – terms-check/variable
Open data, statistics & economics|Policy statistics|OECD countries/global|en/fr|OECD Data|OECD indicators and datasets on economies, education, labour, trade and society.|https://data.oecd.org/|Official statistics/data|Regular|OECD data terms vary; check API/licensing.|B – terms-check/variable
Open data, statistics & economics|Switzerland open data|Switzerland|de/fr/it/en|opendata.swiss|Swiss open government data portal.|https://opendata.swiss/|Open data portal|Continuous|Dataset licenses vary; check each record.|B – terms-check/variable
Open data, statistics & economics|Trade data|Global|en|UN Comtrade|United Nations international trade statistics database.|https://comtradeplus.un.org/|Official trade data|Regular|Access and licensing terms vary; check API usage limits.|B – terms-check/variable
Open data, statistics & economics|U.S. census data|United States|en|U.S. Census Bureau Data|Official U.S. demographic, housing, business and geography data.|https://data.census.gov/|Official statistics|Regular|U.S. government data generally public domain.|A – high-fit/open
Open data, statistics & economics|U.S. economic accounts|United States|en|Bureau of Economic Analysis|Official U.S. GDP, income, spending, trade and regional accounts.|https://www.bea.gov/data|Official statistics|Regular|U.S. government data generally public domain.|A – high-fit/open
Open data, statistics & economics|U.S. fiscal data|United States|en|Fiscal Data|U.S. Treasury datasets on debt, revenue, spending and federal finances.|https://fiscaldata.treasury.gov/|Official financial data|Regular|U.S. government data generally public domain.|A – high-fit/open
Open data, statistics & economics|U.S. labour statistics|United States|en|Bureau of Labor Statistics|Official U.S. employment, prices, wages, productivity and labour data.|https://www.bls.gov/data/|Official statistics|Regular|U.S. government data generally public domain.|A – high-fit/open
Open data, statistics & economics|U.S. securities filings|United States|en|SEC EDGAR|Official U.S. public company filings, disclosures and financial reports.|https://www.sec.gov/edgar|Regulatory filings|Continuous|Official filings; use SEC fair access and data policies.|B – terms-check/variable
Open data, statistics & economics|UK company register|United Kingdom|en|Companies House|Official UK company register, filings and officer data.|https://www.gov.uk/government/organisations/companies-house|Company registry|Continuous|Official data/API; check Companies House terms and privacy limitations.|B – terms-check/variable
Open data, statistics & economics|UK open data|United Kingdom|en|data.gov.uk|UK government open data portal for public sector datasets.|https://data.gov.uk/|Open data portal|Continuous|Dataset licenses vary; many use Open Government Licence.|B – terms-check/variable
Open data, statistics & economics|UK statistics|United Kingdom|en|Office for National Statistics|UK official statistics on population, economy, labour, prices and society.|https://www.ons.gov.uk/|Official statistics|Regular|Official data often under Open Government Licence; verify.|B – terms-check/variable
Open data, statistics & economics|UN statistics|Global|en|UNdata|United Nations statistical databases across demographics, economy and social indicators.|https://data.un.org/|Official statistics/data|Regular|Official data; check UN data terms and attribution.|B – terms-check/variable
Open data, statistics & economics|United States open data|United States|en|Data.gov|U.S. federal open data catalog spanning agencies and topics.|https://data.gov/|Open data portal|Continuous|Dataset licenses/terms vary; many U.S. government datasets public domain.|B – terms-check/variable
Open data, statistics & economics|World development data|Global|en|World Bank Open Data|Global development indicators, surveys and country data.|https://data.worldbank.org/|Official statistics/data|Regular|World Bank data is generally open with attribution; verify datasets.|A – high-fit/open
Technology, standards & cybersecurity|Character standards|Global|en|Unicode Character Database|Unicode character properties, charts and related data files.|https://www.unicode.org/ucd/|Technical data/standards|Versioned|Unicode data files have specific license; check terms.|B – terms-check/variable
Technology, standards & cybersecurity|Cloud-native docs|Global|en|Kubernetes Documentation|Official Kubernetes concepts, tasks, API reference and release docs.|https://kubernetes.io/docs/|Technical documentation|Versioned|Open-source docs; check Creative Commons/license details.|B – terms-check/variable
Technology, standards & cybersecurity|Cybersecurity guidance|United States/Global|en|NIST Cybersecurity Resource Center|NIST cybersecurity publications, frameworks, controls and cryptography guidance.|https://csrc.nist.gov/|Cybersecurity standards/guidance|Regular|U.S. government/public standards material; check NIST terms.|A – high-fit/open
Technology, standards & cybersecurity|Database docs|Global|en|PostgreSQL Documentation|Official PostgreSQL manuals and release documentation.|https://www.postgresql.org/docs/|Technical documentation|Versioned|Open-source project documentation; check license.|B – terms-check/variable
Technology, standards & cybersecurity|EU cybersecurity|EU|en|ENISA|EU cybersecurity agency reports, threat landscapes, guidance and policy resources.|https://www.enisa.europa.eu/|Cybersecurity guidance|Regular|EU agency content; check reuse terms per publication.|B – terms-check/variable
Technology, standards & cybersecurity|European standards|Europe|en/fr/de|CEN-CENELEC Standards|European standardization information and standards catalog.|https://www.cencenelec.eu/|Standards catalog|Versioned|Standards often copyrighted/licensed; use metadata unless licensed.|C – licensed/metadata-only
Technology, standards & cybersecurity|German standards|Germany|de/en|DIN|German standards organization catalog and standards information.|https://www.din.de/en|Standards catalog|Versioned|Most standards are copyrighted/paid; do not ingest full text without license.|C – licensed/metadata-only
Technology, standards & cybersecurity|Germany cybersecurity|Germany|de/en|BSI IT-Grundschutz|German Federal Office for Information Security baseline security methodology and catalogs.|https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/it-grundschutz_node.html|Cybersecurity standard/guidance|Regular|Official guidance; check BSI reuse/copyright notices.|B – terms-check/variable
Technology, standards & cybersecurity|Internet standards|Global|en|IETF RFC Editor|Official repository for RFCs defining internet protocols and standards.|https://www.rfc-editor.org/|Technical standards|Versioned|RFC text is broadly reusable under IETF Trust terms; check license.|B – terms-check/variable
Technology, standards & cybersecurity|Known exploited vulnerabilities|United States/Global|en|CISA Known Exploited Vulnerabilities Catalog|Official catalog of vulnerabilities known to be exploited in the wild.|https://www.cisa.gov/known-exploited-vulnerabilities-catalog|Cybersecurity data|Continuous|U.S. government data; high-fit for security monitoring.|A – high-fit/open
Technology, standards & cybersecurity|Locale data|Global|multi|Unicode CLDR|Common Locale Data Repository for languages, territories, formats and translations.|https://cldr.unicode.org/|Locale data|Versioned|CLDR data is license-governed; widely used for language/locale support.|B – terms-check/variable
Technology, standards & cybersecurity|Open-source security|Global|en|OpenSSF Best Practices Badge Program|Open-source project best-practice criteria and security guidance.|https://bestpractices.coreinfrastructure.org/|Security guidance/data|Regular|Open project data/guidance; check terms and API options.|B – terms-check/variable
Technology, standards & cybersecurity|Operating system security|Global|en|Debian Security Tracker|Debian vulnerability tracking data and package security status.|https://security-tracker.debian.org/tracker/|Security data|Continuous|Open project security data; check Debian license/terms.|B – terms-check/variable
Technology, standards & cybersecurity|Operating system security|Global|en|Ubuntu Security Notices|Canonical/Ubuntu security notices and CVE package status.|https://ubuntu.com/security/notices|Security advisories|Continuous|Copyrighted site content; data useful under terms/API constraints.|B – terms-check/variable
Technology, standards & cybersecurity|Programming language docs|Global|en|Python Documentation|Official Python language and standard library documentation.|https://docs.python.org/3/|Technical documentation|Versioned|Python documentation license; high-fit for code/reference ingestion.|B – terms-check/variable
Technology, standards & cybersecurity|Programming language docs|Global|en|R Project Documentation|Official R language manuals, documentation and package infrastructure links.|https://www.r-project.org/other-docs.html|Technical documentation|Versioned|Open-source project docs; check licenses per manual/package.|B – terms-check/variable
Technology, standards & cybersecurity|Security best practices|Global|en|OWASP|Open Web Application Security Project resources, guides and security standards.|https://owasp.org/|Security guidance|Regular|Open community resources; check project-specific licenses.|B – terms-check/variable
Technology, standards & cybersecurity|Software license metadata|Global|en|SPDX License List|Standardized list of open-source license identifiers and texts.|https://spdx.org/licenses/|License data|Versioned|Open data; high-fit for license detection and compliance metadata.|A – high-fit/open
Technology, standards & cybersecurity|Software supply chain|Global|en|OpenSSF Scorecard|Automated checks and documentation for open-source project security posture.|https://scorecard.dev/|Security data/guidance|Regular|Open-source tooling/data; check repository/project licenses.|B – terms-check/variable
Technology, standards & cybersecurity|Standards catalog|Global|en/fr|ISO Standards|International Organization for Standardization catalog and summaries.|https://www.iso.org/standards.html|Standards catalog|Versioned|Most standards are paid/copyrighted; ingest only metadata or licensed text.|C – licensed/metadata-only
Technology, standards & cybersecurity|Telecom standards|Europe/Global|en|ETSI Standards Search|European Telecommunications Standards Institute publications and standards search.|https://www.etsi.org/standards|Technical standards|Versioned|Many standards available under ETSI terms; verify permitted use.|B – terms-check/variable
Technology, standards & cybersecurity|Vulnerability IDs|Global|en|MITRE CVE|Common Vulnerabilities and Exposures identifier database.|https://www.cve.org/|Cybersecurity data|Continuous|CVE records available under program terms; ideal for structured ingestion.|B – terms-check/variable
Technology, standards & cybersecurity|Vulnerability database|United States/Global|en|NIST National Vulnerability Database|CVE vulnerability enrichment, CVSS metrics and CPE data.|https://nvd.nist.gov/|Cybersecurity data|Continuous|U.S. government data; high-fit, but respect feeds/API usage.|A – high-fit/open
Technology, standards & cybersecurity|Weakness taxonomy|Global|en|MITRE CWE|Common Weakness Enumeration taxonomy for software and hardware weaknesses.|https://cwe.mitre.org/|Cybersecurity taxonomy|Regular|MITRE terms apply; useful structured taxonomy.|B – terms-check/variable
Technology, standards & cybersecurity|Web developer docs|Global|en + localized|MDN Web Docs|Authoritative web platform documentation and browser compatibility data.|https://developer.mozilla.org/|Technical documentation|Continuous|Open licenses for many docs/data; verify page and BCD licenses.|B – terms-check/variable
Technology, standards & cybersecurity|Web standards|Global|en|W3C Standards|World Wide Web Consortium standards, recommendations and technical reports.|https://www.w3.org/TR/|Technical standards|Versioned|Open web standards; check W3C document license.|B – terms-check/variable
Technology, standards & cybersecurity|Web standards|Global|en|WHATWG Standards|Living web standards including HTML, Fetch, DOM and URL.|https://spec.whatwg.org/|Technical standards|Living|Open standards under WHATWG terms; useful for technical ingestion.|B – terms-check/variable
Environment, climate & geography|Air quality|Global|en|OpenAQ|Open air quality data platform aggregating government and research measurements.|https://openaq.org/|Air quality data|Continuous|Open data with source-specific metadata; cite original sources.|A – high-fit/open
Environment, climate & geography|Atmosphere data|Europe/Global|en|Copernicus Atmosphere Monitoring Service|Atmospheric composition, air quality and emissions data/services.|https://atmosphere.copernicus.eu/|Atmosphere data|Continuous|Copernicus terms apply; cite datasets.|B – terms-check/variable
Environment, climate & geography|Biodiversity|Global|en|GBIF|Global Biodiversity Information Facility species occurrence and biodiversity data.|https://www.gbif.org/|Biodiversity data|Continuous|Open data with dataset-level licenses and citation requirements.|A – high-fit/open
Environment, climate & geography|Climate assessments|Global|en + multi|IPCC Reports|Authoritative climate assessment reports and summaries.|https://www.ipcc.ch/reports/|Assessment reports|Periodic|Official reports; check IPCC copyright/reuse notices.|B – terms-check/variable
Environment, climate & geography|Climate data|United States/Global|en|NOAA NCEI|NOAA environmental and climate data archive.|https://www.ncei.noaa.gov/|Climate/environment data|Continuous|U.S. government data generally public domain.|A – high-fit/open
Environment, climate & geography|Climate reanalysis|Europe/Global|en|ECMWF Data|European Centre for Medium-Range Weather Forecasts datasets and forecasts.|https://www.ecmwf.int/en/forecasts/datasets|Weather/climate data|Continuous|Licensing/access varies by dataset; check before ingest.|B – terms-check/variable
Environment, climate & geography|Climate surfaces|Global|en|WorldClim|Global climate and weather gridded data for ecological modeling.|https://www.worldclim.org/|Climate data|Versioned|Data terms and citations apply; suitable for structured ingestion.|B – terms-check/variable
Environment, climate & geography|Climate/weather data|Global|en|NASA POWER|NASA meteorology and solar radiation data for energy, agriculture and buildings.|https://power.larc.nasa.gov/|Climate/weather data|Regular|Open NASA data; good fit for structured ingestion.|A – high-fit/open
Environment, climate & geography|Earth observations|Global|en|NASA Earthdata|NASA Earth science data portal for atmosphere, land, oceans and cryosphere.|https://www.earthdata.nasa.gov/|Earth data|Continuous|NASA data is generally open; check dataset licenses and citation.|A – high-fit/open
Environment, climate & geography|Environment program|Global|en|UNEP|UN Environment Programme reports, data and environmental assessments.|https://www.unep.org/|Official environment source|Regular|Official content; check UN/UNEP reuse terms.|B – terms-check/variable
Environment, climate & geography|European climate data|Europe/Global|en|Copernicus Climate Data Store|EU climate data, reanalyses and applications including ERA5 access.|https://cds.climate.copernicus.eu/|Climate data|Continuous|Copernicus licenses apply; excellent structured data source.|B – terms-check/variable
Environment, climate & geography|European environment|Europe|en|European Environment Agency|Environmental indicators, assessments, maps and data for Europe.|https://www.eea.europa.eu/|Environment data/reports|Regular|EU/EEA content reuse terms apply; datasets often open.|B – terms-check/variable
Environment, climate & geography|European marine data|Europe|en|EMODnet|European Marine Observation and Data Network datasets and maps.|https://emodnet.ec.europa.eu/|Marine data|Regular|Data licenses vary by provider; many open layers.|B – terms-check/variable
Environment, climate & geography|Forests/land use|Global|en|Global Forest Watch|Forest change, land cover and deforestation monitoring data/tools.|https://www.globalforestwatch.org/|Environment data|Regular|Data terms vary by layer/provider; check before ingest.|B – terms-check/variable
